acceleration_x_mean,acceleration_x_std,acceleration_y_mean,acceleration_y_std,acceleration_z_mean,acceleration_z_std,gyro_x_mean,gyro_x_std,gyro_y_mean,gyro_y_std,gyro_z_mean,gyro_z_std,activity_mean
0.47415,0.15243307821248425,-1.087175,0.29253464039893345,-0.009374999999999998,0.15163430515552873,-0.2284,0.4720055790630728,0.038775000000000004,0.3490428567287022,-0.6878000000000001,2.508545723455458,0
0.48856,0.1639170155902065,-1.04444,0.2187640121226524,-0.06612000000000001,0.15901684501963934,-0.08812,0.5644702622813712,-0.04851999999999999,0.7173665429890078,0.12196000000000003,2.1713651335047266,0
0.4484,0.15567096710690786,-0.98864,0.23380835742120085,-0.08824,0.1014809489510223,-0.08986,0.2745457939943717,0.037500000000000006,0.3970961029776041,0.004800000000000071,1.8889728359613858,0
0.40806000000000003,0.1437271303547107,-1.02018,0.2362637657365175,-0.0803,0.1377841609184452,-0.060880000000000004,0.5366857339262895,-0.22405999999999998,0.24394783868687991,-0.13285999999999998,1.9265217408583792,0
0.4681,0.19042674444520652,-0.8936999999999999,0.1770778077569293,-0.1692,0.12055801507987765,0.05012,0.17296812423102703,-0.35844,0.6552349792250106,-0.08030000000000005,2.2294547035093584,0
0.48312,0.1950453972797103,-1.04394,0.22559603941558906,-0.13554,0.1482370500246143,-0.023059999999999994,0.3612989523926135,0.08353999999999999,0.2778704518296251,-0.16231999999999994,2.6511604472381523,0
0.4622,0.11045084879710068,-1.03312,0.3007350943937206,-0.08249999999999999,0.10817335623895563,-1.9999999999997796e-05,0.39914175050976564,0.009360000000000025,0.4610383096880345,0.2817199999999999,2.2311192162231044,0
0.47046,0.13777774856630517,-0.9695,0.23532892937333474,-0.1325,0.16396054403422794,0.048960000000000004,0.5421050940546491,-0.1083,0.5910291997862711,-0.00578000000000003,1.8487373683138446,0
0.43308,0.13447437302326418,-1.03416,0.2148772393716933,-0.05834,0.1273072386001676,0.0020199999999999997,0.48185842526617717,-0.14324,0.3731286614560721,0.12722000000000006,1.9472690959392336,0
0.49046,0.1748508879016632,-0.9907599999999999,0.21549784917720172,-0.06198,0.06266663386523964,-0.18102000000000001,0.45611990419186926,0.40115999999999996,0.9802159471259382,0.18251999999999988,1.964869078844695,0
0.4584333333333333,0.17932836734140348,-0.8890333333333333,0.10138699785146679,-0.09733333333333334,0.1654933331990547,0.030733333333333352,0.4579101367444636,-0.22556666666666667,0.7731396661233553,1.4765666666666668,0.9968339597612702,0
0.471,0.3138139894905898,-0.9760500000000001,0.23511300474452718,-0.08495,0.056073567748093224,-0.2531,0.05925554826343268,-0.42585,0.5141373406007387,-1.9929000000000001,1.2641655034053096,0
0.43235999999999997,0.11936449639654163,-1.074,0.34463899228032807,-0.10904,0.10817642072096859,-0.09885999999999999,0.5900065491161941,0.022960000000000005,0.7461102083472655,0.15183999999999997,2.2555116288771377,0
0.5175,0.13595427540169527,-0.9968199999999999,0.23131616242709888,-0.1489,0.12619294750500124,-0.06436,0.4413040255878027,0.10959999999999999,0.6275223501995766,0.24022000000000002,2.1811518922349262,0
0.45036000000000004,0.16294581307907238,-1.00626,0.18065505251722136,-0.0864,0.12125594830770159,0.013239999999999997,0.20333015762547377,-0.00046000000000001595,0.7125817939015843,0.14758000000000004,2.3289439488746826,0
0.42542,0.13716434303418654,-0.97994,0.18245722238376863,-0.11401999999999998,0.12674674354791132,-0.04483999999999999,0.44000368521183997,0.13666,0.4896598952334161,0.060579999999999946,1.9085719155955323,0
0.46758000000000005,0.1304026725186259,-0.9812,0.21112312758198704,-0.13258,0.12661124357654815,-0.10729999999999999,0.43242244969474003,-0.020399999999999984,0.708300088239441,0.09615999999999995,1.938048427671507,0
0.42674,0.14314493703935183,-1.0235800000000002,0.2777966648467905,-0.12692,0.1428161475464172,-0.014060000000000007,0.5436955425603561,-0.09607999999999998,0.4943946672447024,0.06172,2.184530043739385,0
0.38878,0.11376509570162548,-0.96036,0.20600967938424644,-0.10398,0.11333588134390626,-0.05194000000000001,0.5639956409406016,0.11539999999999999,0.18907267121400703,0.07408000000000012,1.848347665348703,0
0.3994,0.08941764367282334,-0.94596,0.17657371831617524,-0.0995,0.09820343680340317,-0.02396000000000001,0.4799809194124283,0.20928,0.4359816819546436,0.029640000000000017,2.1814384664711493,0
0.38978,0.1505592806837227,-0.9359200000000001,0.1632287872894975,-0.07715999999999999,0.12480093349009853,-0.05414000000000001,0.45250225745293254,0.019860000000000034,0.9320072172467335,0.16441999999999993,2.2791078489180805,0
0.43676000000000004,0.15908728107551526,-0.9818999999999999,0.19900192210127018,-0.08448,0.11459165327370051,-0.03696,0.3503596623471372,-0.14156,0.5338207498777094,-0.0012199999999999989,2.2582370097046947,0
0.46499999999999997,0.18045365055880694,-1.0705,0.3013689101417065,-0.051500000000000004,0.10394469683442249,-0.25839999999999996,0.28425692603699204,-0.36819999999999997,0.27492311652532964,-2.35585,1.1197035880088981,0
0.42095000000000005,0.043204224330498024,-1.1162,0.027718585822512517,0.07005,0.02326381310103741,-0.20205,0.13046120112891801,0.9219999999999999,0.22245579336128773,1.41695,0.3516442022840701,0
0.45636,0.14564825093354192,-0.9929600000000001,0.22623331540690456,-0.14601999999999998,0.13746105630323086,-0.08424,0.41344120863793926,-0.0024600000000000025,0.4829222691075656,-0.09437999999999991,2.5295585616862084,0
0.46299999999999997,0.15650452070148005,-1.0233,0.2677282577540145,-0.11163999999999999,0.11584516822034487,-0.07146000000000001,0.4156299832783963,0.07268000000000001,0.6622392445332729,0.16326000000000004,2.2749360349249383,0
